STATUS: PROVISIONAL
# CA_CLETS supported queries -- DERIVED FROM JSON COMBOS, NOT YET CONFIRMED.
# ACTION: verify this list against the provider devdoc 'Basic Queries Supported'.
#   - remove any line the devdoc does NOT authorize
#   - add any devdoc-supported query intentionally not built (document as a skip)
# Then change STATUS to CONFIRMED to turn this into a hard gate.
# Format: <QueryLabel> | <PrimaryFieldReference>

Article | ArticleSerialNumber
Article | OwnerAppliedNumber
Boat | BoatHullIdNumber
Boat | Name
Boat | OwnerAppliedNumber
Boat | RegistrationNumber
Driver History | Name
Driver History | OperatorLicenseNumber
Driver License | CriminalIdNumber
Driver License | Name
Driver License | OperatorLicenseNumber
Driver License | SocialSecurityNumber
Firearm | GunSerialNumber
Firearm | Name
Vehicle Registration | LicensePlateNumber
Vehicle Registration | Name
Vehicle Registration | VehicleIdentificationNumber
