================================================================
  SUPPORTED-QUERY (DEVDOC) AUDIT -- CA_CONTRA_COSTA
================================================================

Extract STATUS: CONFIRMED  (GATING -- mismatches FAIL)
Devdoc 'Basic Queries Supported' (CA_CONTRA_COSTA_DEVDOC.txt, lines 38-41): (none)

[PASS] combo NLTS.RQ.P: 'Vehicle Registration | LicensePlateNumber' is devdoc-supported
[PASS] combo NLTS.RQ.V: 'Vehicle Registration | VehicleIdentificationNumber' is devdoc-supported
[PASS] combo IN.VP: 'Vehicle Registration | Name' is devdoc-supported
[PASS] combo IA.QVK: 'Vehicle Registration | VehicleIdentificationNumber' is devdoc-supported
[PASS] combo IA.QV: 'Vehicle Registration | LicensePlateNumber' is devdoc-supported
[PASS] combo NLTS.DQ.N: 'Driver License | Name' is devdoc-supported
[PASS] combo NLTS.DQ: 'Driver License | OperatorLicenseNumber' is devdoc-supported
[PASS] combo IR.QVC.N: 'Driver License | Name' is devdoc-supported
[PASS] combo IR.QVC.O: 'Driver License | OperatorLicenseNumber' is devdoc-supported
[PASS] combo IR.QVC.C: 'Driver License | CriminalIdNumber' is devdoc-supported
[PASS] combo IR.QVC.S: 'Driver License | SocialSecurityNumber' is devdoc-supported
[PASS] combo ID.L1: 'Driver License | OperatorLicenseNumber' is devdoc-supported
[PASS] combo IN.L1: 'Driver License | Name' is devdoc-supported
[PASS] combo NLTS.KQ.N: 'Driver History | Name' is devdoc-supported
[PASS] combo NLTS.KQ.O: 'Driver History | OperatorLicenseNumber' is devdoc-supported
[PASS] combo IG.QGH: 'Firearm | Name' is devdoc-supported
[PASS] combo IG.QGB: 'Firearm | GunSerialNumber' is devdoc-supported
[PASS] combo IP.QA.S: 'Article | ArticleSerialNumber' is devdoc-supported
[PASS] combo IP.QA.O: 'Article | OwnerAppliedNumber' is devdoc-supported
[PASS] combo NLTS.BQ.N: 'Boat | Name' is devdoc-supported
[PASS] combo NLTS.BQ.H: 'Boat | BoatHullIdNumber' is devdoc-supported
[PASS] combo NLTS.BQ.R: 'Boat | RegistrationNumber' is devdoc-supported
[PASS] combo IA.QB.H: 'Boat | BoatHullIdNumber' is devdoc-supported
[PASS] combo IA.QB.O: 'Boat | OwnerAppliedNumber' is devdoc-supported
[PASS] combo IA.QB.R: 'Boat | RegistrationNumber' is devdoc-supported

RESULTS: 25 PASS / 0 FAIL / 0 WARN (0 INFO)
