CA_eSUN -- Build Status
========================
LABELS PROVISIONAL -- refine wording during manual form use; not a graded test case.
Last updated    : 2026-09-03
Provider        : CA_eSUN
Current: v2.2 | 59P/7F/53W/2LIM | Updated 2026-09-02

LIVE TEST RESULTS (post_test.ps1)
--------------------------------------------------
  #     Date        Entity      Combo                Result    Notes
  ---   ----------  ----------  -------------------  --------  -----
  ---   2026-09-03 Boat       Boat:PurposeCodeBoatHullIdNumber_guardrail_vs_PurposeCodeRegistrationNumber PASS     PurposeCodeBoatHullIdNumber_guardrail_vs_PurposeCodeRegistrationNumber (auto)
  ---   2026-09-03 Boat       Boat:PurposeCodeRegistrationNumber_any PASS     PurposeCodeRegistrationNumber_any (auto)
  ---   2026-09-03 Boat       Boat:PurposeCodeRegistrationNumber PASS     PurposeCodeRegistrationNumber (auto)
  ---   2026-09-03 Boat       Boat:PurposeCodeBoatHullIdNumber_any PASS     PurposeCodeBoatHullIdNumber_any (auto)
  ---   2026-09-03 Boat       Boat:PurposeCodeBoatHullIdNumber PASS     PurposeCodeBoatHullIdNumber (auto)
  ---   2026-09-03 Article    Article:ArticleSerialNumber_af_ArticleBrand PASS     ArticleSerialNumber_af_ArticleBrand (auto)
  ---   2026-09-03 Article    Article:ArticleSerialNumber_af_ArticleTypeCode PASS     ArticleSerialNumber_af_ArticleTypeCode (auto)
  ---   2026-09-03 Article    Article:ArticleSerialNumber PASS     ArticleSerialNumber (auto)
  ---   2026-09-03 Firearm    Gun:PurposeCodeFirearmSerialNumber_guardrail_vs_PurposeCodeNameLastAge PASS     PurposeCodeFirearmSerialNumber_guardrail_vs_PurposeCodeNameLastAge (auto)
  ---   2026-09-03 Firearm    Gun:PurposeCodeFirearmSerialNumber_guardrail_vs_PurposeCodeNameLastBirthDate PASS     PurposeCodeFirearmSerialNumber_guardrail_vs_PurposeCodeNameLastBirthDate (auto)
  ---   2026-09-03 Firearm    Gun:PurposeCodeNameLastAge PASS     PurposeCodeNameLastAge (auto)
  ---   2026-09-03 Firearm    Gun:PurposeCodeNameLastBirthDate PASS     PurposeCodeNameLastBirthDate (auto)
  ---   2026-09-03 Firearm    Gun:PurposeCodeFirearmSerialNumber_any PASS     PurposeCodeFirearmSerialNumber_any (auto)
  ---   2026-09-03 Firearm    Gun:PurposeCodeFirearmSerialNumber_af_FirearmType PASS     PurposeCodeFirearmSerialNumber_af_FirearmType (auto)
  ---   2026-09-03 Firearm    Gun:PurposeCodeFirearmSerialNumber_af_FirearmMake PASS     PurposeCodeFirearmSerialNumber_af_FirearmMake (auto)
  ---   2026-09-03 Firearm    Gun:PurposeCodeFirearmSerialNumber_af_FirearmCaliber PASS     PurposeCodeFirearmSerialNumber_af_FirearmCaliber (auto)
  ---   2026-09-03 Firearm    Gun:PurposeCodeFirearmSerialNumber PASS     PurposeCodeFirearmSerialNumber (auto)
  ---   2026-09-03 Person     DL:DQNameBirthSexCodeOut_strip_RegistrationState PASS     DQNameBirthSexCodeOut_strip_RegistrationState (auto)
  ---   2026-09-03 Person     DL:KQOperatorLicenseNumberOut_strip_RegistrationState PASS     KQOperatorLicenseNumberOut_strip_RegistrationState (auto)
  ---   2026-09-03 Person     DL:L1OperatorLicenseNumberIn_guardrail_vs_L1NameIn PASS     L1OperatorLicenseNumberIn_guardrail_vs_L1NameIn (auto)
  ---   2026-09-03 Person     DL:L1OperatorLicenseNumberIn_guardrail_vs_VPAgeIn PASS     L1OperatorLicenseNumberIn_guardrail_vs_VPAgeIn (auto)
  ---   2026-09-03 Person     DL:L1OperatorLicenseNumberIn_guardrail_vs_VPBirthDateIn PASS     L1OperatorLicenseNumberIn_guardrail_vs_VPBirthDateIn (auto)
  ---   2026-09-03 Person     DL:L1OperatorLicenseNumberIn_guardrail_vs_DQNameBirthSexCodeOut PASS     L1OperatorLicenseNumberIn_guardrail_vs_DQNameBirthSexCodeOut (auto)
  ---   2026-09-03 Person     DL:L1NameIn_any      PASS     L1NameIn_any (auto)
  ---   2026-09-03 Person     DL:L1NameIn          PASS     L1NameIn (auto)
  ---   2026-09-03 Person     DL:VPAgeIn_any       PASS     VPAgeIn_any (auto)
  ---   2026-09-03 Person     DL:VPAgeIn_af_SexCode PASS     VPAgeIn_af_SexCode (auto)
  ---   2026-09-03 Person     DL:VPAgeIn           PASS     VPAgeIn (auto)
  ---   2026-09-03 Person     DL:VPBirthDateIn_af_SexCode PASS     VPBirthDateIn_af_SexCode (auto)
  ---   2026-09-03 Person     DL:VPBirthDateIn     PASS     VPBirthDateIn (auto)
  ---   2026-09-03 Person     DL:DQNameBirthSexCodeOut PASS     DQNameBirthSexCodeOut (auto)
  ---   2026-09-03 Person     DL:L1OperatorLicenseNumberIn PASS     L1OperatorLicenseNumberIn (auto)
  ---   2026-09-03 Person     DL:KQOperatorLicenseNumberOut PASS     KQOperatorLicenseNumberOut (auto)
  ---   2026-09-03 Vehicle    VehReg:IdentificationNumberInOut_guardrail_vs_NameAddressIn PASS     IdentificationNumberInOut_guardrail_vs_NameAddressIn (auto)
  ---   2026-09-03 Vehicle    VehReg:QVLicensePlateNumberIn_guardrail_vs_NameAddressIn PASS     QVLicensePlateNumberIn_guardrail_vs_NameAddressIn (auto)
  ---   2026-09-03 Vehicle    VehReg:IdentificationNumberInOut_guardrail_vs_VPNameBirthDateIn PASS     IdentificationNumberInOut_guardrail_vs_VPNameBirthDateIn (auto)
  ---   2026-09-03 Vehicle    VehReg:QVLicensePlateNumberIn_guardrail_vs_VPNameBirthDateIn PASS     QVLicensePlateNumberIn_guardrail_vs_VPNameBirthDateIn (auto)
  ---   2026-09-03 Vehicle    VehReg:QVLicensePlateNumberIn_guardrail_vs_IdentificationNumberInOut PASS     QVLicensePlateNumberIn_guardrail_vs_IdentificationNumberInOut (auto)
  ---   2026-09-03 Vehicle    CAILojack:LojackID   PASS     LojackID (auto)
  ---   2026-09-03 Vehicle    VehReg:NameAddressIn_any PASS     NameAddressIn_any (auto)
  ---   2026-09-03 Vehicle    VehReg:NameAddressIn_af_AddressStreetNumber PASS     NameAddressIn_af_AddressStreetNumber (auto)
  ---   2026-09-03 Vehicle    VehReg:NameAddressIn_af_AddressCity PASS     NameAddressIn_af_AddressCity (auto)
  ---   2026-09-03 Vehicle    VehReg:NameAddressIn PASS     NameAddressIn (auto)
  ---   2026-09-03 Vehicle    VehReg:VPNameBirthDateIn_any PASS     VPNameBirthDateIn_any (auto)
  ---   2026-09-03 Vehicle    VehReg:VPNameBirthDateIn PASS     VPNameBirthDateIn (auto)
  ---   2026-09-03 Vehicle    VehReg:IdentificationNumberInOut_any PASS     IdentificationNumberInOut_any (auto)
  ---   2026-09-03 Vehicle    VehReg:IdentificationNumberInOut_af_VehicleYear PASS     IdentificationNumberInOut_af_VehicleYear (auto)
  ---   2026-09-03 Vehicle    VehReg:IdentificationNumberInOut_af_VehicleMakeCode PASS     IdentificationNumberInOut_af_VehicleMakeCode (auto)
  ---   2026-09-03 Vehicle    VehReg:IdentificationNumberInOut PASS     IdentificationNumberInOut (auto)
  ---   2026-09-03 Vehicle    VehReg:QVLicensePlateNumberIn_any PASS     QVLicensePlateNumberIn_any (auto)
  ---   2026-09-03 Vehicle    VehReg:QVLicensePlateNumberIn PASS     QVLicensePlateNumberIn (auto)
  ---   2026-09-03 Vehicle    VehReg:4LicensePlateTypeIn PASS     4LicensePlateTypeIn (auto)
  ---   2026-09-03 Vehicle    VehReg:RQLicensePlateTypeYearOut PASS     RQLicensePlateTypeYearOut (auto)
