HI_HCJDC_OFML -- v4.8 -- 65P/0F/0W/0LIM -- 2026-07-15

LABELS PROVISIONAL -- refine wording during manual form use; not a graded test case.
LIVE TEST RESULTS -- MC (post_test.ps1)
--------------------------------------------------
  #     Date        Entity      Combo                Result    Notes
  ---   ----------  ----------  -------------------  --------  -----
  (none yet -- v4.8 USx Tenant Testing restarted from Test 1; prior logs archived to logs/<Entity>/_archive_pre_v4.8/)
  ---   2026-07-15 Vehicle    VehReg:RQ            PASS     RQ (auto)
  ---   2026-07-15 Vehicle    VehReg:RQ_af_ImageIndicator PASS     RQ_af_ImageIndicator (auto)
  ---   2026-07-15 Vehicle    VehReg:RQV           PASS     RQV (auto)
  ---   2026-07-15 Vehicle    VehReg:RQV_af_ImageIndicator PASS     RQV_af_ImageIndicator (auto)
  ---   2026-07-15 Vehicle    VehReg:RQV_af_vehicleYear PASS     RQV_af_vehicleYear (auto)
  ---   2026-07-15 Vehicle    VehReg:RQV_any       PASS     RQV_any (auto)
  ---   2026-07-15 Vehicle    VehReg:RQ_any        PASS     RQ_any (auto)
  ---   2026-07-15 Vehicle    VehReg:M55L          PASS     M55L (auto)
  ---   2026-07-15 Vehicle    VehReg:M55L_af_ImageIndicator PASS     M55L_af_ImageIndicator (auto)
  ---   2026-07-15 Vehicle    VehReg:M55S          PASS     M55S (auto)
  ---   2026-07-15 Vehicle    VehReg:M55S_af_ImageIndicator PASS     M55S_af_ImageIndicator (auto)
  ---   2026-07-15 Vehicle    VehReg:M55S_af_vehicleYear PASS     M55S_af_vehicleYear (auto)
  ---   2026-07-15 Vehicle    VehReg:M55S_any      PASS     M55S_any (auto)
  ---   2026-07-15 Vehicle    VehReg:M55L_any      PASS     M55L_any (auto)
  ---   2026-07-02 Vehicle    VehReg:RQ_guardrail  PASS     RQ_guardrail (auto)
  ---   2026-07-15 Firearm    Gun:QG               PASS     QG (auto)
  ---   2026-07-15 Firearm    Gun:QG_af_GunMake    PASS     QG_af_GunMake (auto)
  ---   2026-07-15 Firearm    Gun:QG_af_GunCaliber PASS     QG_af_GunCaliber (auto)
  ---   2026-07-15 Firearm    Gun:QG_af_GunModel   PASS     QG_af_GunModel (auto)
  ---   2026-07-15 Firearm    Gun:QG_any           PASS     QG_any (auto)
  ---   2026-07-15 Article    Article:QA           PASS     QA (auto)
  ---   2026-07-15 Boat       Boat:QB              PASS     QB (auto)
  ---   2026-07-15 Boat       Boat:QB_any          PASS     QB_any (auto)
  ---   2026-07-02 Boat       Boat:QB_guardrail    PASS     QB_guardrail (auto)
  ---   2026-07-15 Boat       Boat:BQ              PASS     BQ (auto)
  ---   2026-07-15 Boat       Boat:BQ_any          PASS     BQ_any (auto)
  ---   2026-07-15 Firearm    Gun:QG_af_relatedSearchHitIndicator PASS     QG_af_relatedSearchHitIndicator (auto)
  ---   2026-07-15 Article    Article:QA_af_relatedSearchHitIndicator PASS     QA_af_relatedSearchHitIndicator (auto)
  ---   2026-07-15 Article    Article:QA_any       PASS     QA_any (auto)
  ---   2026-07-15 Boat       Boat:QB_af_relatedSearchHitIndicator PASS     QB_af_relatedSearchHitIndicator (auto)
  ---   2026-07-15 Boat       Boat:BQ_af_relatedSearchHitIndicator PASS     BQ_af_relatedSearchHitIndicator (auto)
  ---   2026-07-02 Vehicle    VehReg:M55L_guardrail PASS     M55L_guardrail (auto)
  ---   2026-07-15 Boat       Boat:QB_guardrail_vs_BQ PASS     QB_guardrail_vs_BQ (auto)
  ---   2026-07-15 Person     DH:KQN_guardrail_vs_KQ PASS     KQN_guardrail_vs_KQ (auto)
  ---   2026-07-15 Person     DL:DQN_guardrail_vs_DQ PASS     DQN_guardrail_vs_DQ (auto)
  ---   2026-07-15 Person     DH:KQN_any           PASS     KQN_any (auto)
  ---   2026-07-15 Person     DH:KQN_af_purposeCodeDH PASS     KQN_af_purposeCodeDH (auto)
  ---   2026-07-15 Person     DH:KQN               PASS     KQN (auto)
  ---   2026-07-15 Person     DH:KQ_any            PASS     KQ_any (auto)
  ---   2026-07-15 Person     DH:KQ_af_purposeCodeDH PASS     KQ_af_purposeCodeDH (auto)
  ---   2026-07-15 Person     DH:KQ                PASS     KQ (auto)
  ---   2026-07-15 Person     DL:DQN_any           PASS     DQN_any (auto)
  ---   2026-07-15 Person     DL:DQN               PASS     DQN (auto)
  ---   2026-07-15 Person     DL:DQ_any            PASS     DQ_any (auto)
  ---   2026-07-15 Person     DL:DQ                PASS     DQ (auto)
  ---   2026-07-15 Vehicle    VehReg:M55L_guardrail_vs_M55S PASS     M55L_guardrail_vs_M55S (auto)
  ---   2026-07-15 Vehicle    VehReg:M55L_guardrail_vs_RQV PASS     M55L_guardrail_vs_RQV (auto)
