NJ_NJCJIS_LOCKED -- Build Status
========================
Last updated    : 2026-05-15
Current version : BASE
Provider        : NJ_NJCJIS_LOCKED

LIVE TEST RESULTS -- BASE (post_test.ps1)
--------------------------------------------------
  #     Date        Entity      Combo                Result    Notes
  ---   ----------  ----------  -------------------  --------  -----
  ---   2026-05-15 Vehicle    UI_CHECK:autoSelect  PASS     v3.1 retest T1: autoSelect confirmed - VehReg auto-selects on field entry, Stolen stays unchecked
  ---   2026-05-15 Vehicle    VehReg:RQ            PASS     v3.1 retest T2: RQ plate search - keyRef RQ, plate+State+defaults sent, RMS co-fired tag+registrationStateAttrIds
  ---   2026-05-15 Vehicle    VehReg:RQ_RAND       PASS     v3.1 retest T3: RQ_RAND plate search - RandomRequest=Y conditions routing confirmed, RMS co-fired
  ---   2026-05-15 Vehicle    VehReg:RQN           PASS     v3.1 retest T4: RQN VIN search - VIN+State+defaults sent, no plate fields, RMS co-fired vinNumber+registrationStateAttrIds
  ---   2026-05-15 Vehicle    VehStolen:QVP        PASS     v3.1 retest T5: QVP plate stolen - queriesToDeselect popup confirmed VehReg deselected, plate+State+ImageIndicator sent, RMS co-fired
  ---   2026-05-15 Person     DL:DQN               PASS     v3.1 retest T6: DQN OLN search - OLN+State+ImageIndicator sent, RMS co-fired dlNumber+registrationStateAttrId
  ---   2026-05-15 Person     DL:DQ                PASS     v3.1 retest T7: DQ Name+DOB - Name=SGAMBELLONE,ROB BirthDate=01011985 SexCode=M State+ImageIndicator sent, RMS co-fired lastName+firstName+dateOfBirth+registrationStateAttrId
  ---   2026-05-15 Firearm    Gun:QG               PASS     v3.1 retest T8: QG gun serial search - GunSerialNumber+ImageIndicator sent
  ---   2026-05-15 Article    Article:QA           PASS     v3.1 retest T9: QA article search - ArticleSerialNumber+ArticleTypeCode=CCASE+ImageIndicator sent
  ---   2026-05-15 Boat       Boat:QB              PASS     v3.1 retest T10: QB boat reg search - RegistrationNumber+ImageIndicator sent
  ---   2026-05-15 Vehicle    VehReg:RQN_RAND      PASS     v3.1 retest T11: RQN_RAND VIN search - RandomRequest=Y conditions routing confirmed, RMS co-fired vinNumber+registrationStateAttrIds
  ---   2026-05-15 Vehicle    VehStolen:QVN        PASS     v3.1 retest T12: QVN NCIC number - Stolen checkbox active but not auto-checked (autoSelect=false), NCICNumber+ImageIndicator sent
  ---   2026-05-15 Vehicle    VehStolen:QVV        PASS     v3.1 retest T13: QVV VIN stolen search - VIN+VehicleMakeCode+ImageIndicator sent, RMS co-fired vinNumber+registrationStateAttrIds
