# SUPPRESSION-SCOPE: direction-aware
#   Opted in 2026-08-01. Without this marker a registry row suppresses EVERY check for its
#   (query, keyRef, field) triple regardless of what the recorded decision actually said -- so a row
#   granting "this field may ride in any[]" also silences the OPPOSITE defect (a field wrongly
#   promoted INTO set[]), and the gate goes mute somewhere it was never granted.
#   Narrowing is STRICTER and CAN turn a provider red by un-silencing a real finding. That is the
#   point: if it does, investigate the finding -- do NOT remove the marker.
#   Measured before/after opting in; result recorded in the commit.
# NM_NMLETS_OFML ACCEPTED METADATA DIVERGENCES
# Read by tools/audit_metadata.ps1 (CHECK 4 / 4d). Each non-comment line records a
# set/any divergence that is intentional and correct, so the gate treats it as [NOTE] not [FAIL].
# Format (pipe-delimited): query | keyRef | field | rule | reason | source | date
#

VehicleRegistrationQuery | QV.V | VehicleIdentificationNumber | devdoc-optional-unreachable | Devdoc VehicleRegistrationQuery #2 is "VehicleIdentificationNumber" with VehicleMakeCode and VehicleYear BRACKETED as optionals -- i.e. a VIN-only lookup. THIS providers metadata permits no such thing: BOTH VIN variants require VehicleMakeCode in <Set>. QV{VehicleIdentificationNumber} = Set[VehicleIdentificationNumber, VehicleMakeCode] Any[FormORI, RelatedHitSearchIndicator], and RQ{VehicleIdentificationNumber} = Set[VehicleIdentificationNumber, VehicleMakeCode, VehicleYear] Any[FormORI, State..State5]. There is no looser variant. The built QV.V (set[VehicleIdentificationNumber, VehicleMakeCode]) matches QV{VIN} exactly and RQ.V matches RQ{VIN} exactly. METADATA IS FIELD-AUTHORITY, devdoc is QUERY-authority (KB rule B4), so VehicleMakeCode stays mandatory. Building a VIN-only combination would emit a request NO metadata variant accepts -- it would MANUFACTURE a wire-invalid request. Note this also means an officer must supply the make with a VIN on this provider, which is a real usability consequence of the metadata, not a build choice. Verified against the raw XML Requirements 2026-08-01. | metadata-vs-devdoc | 2026-08-01
VehicleRegistrationQuery | QV.V | VehicleYear | devdoc-optional-unreachable | Devdoc VehicleRegistrationQuery #2 lists VehicleYear as an optional on the VIN search, but THIS providers metadata scopes it to the OUT-OF-STATE transaction ONLY. QV{VehicleIdentificationNumber} = Set[VehicleIdentificationNumber, VehicleMakeCode] Any[FormORI, RelatedHitSearchIndicator] -- VehicleYear is NOT defined there at all. RQ{VehicleIdentificationNumber} = Set[VehicleIdentificationNumber, VehicleMakeCode, VehicleYear] Any[FormORI, State..State5] -- there it is MANDATORY. The build routes correctly on that split: RQ.V is gated RegistrationState EXISTS and carries the year, QV.V is gated RegistrationState NOT_EXISTS and does not. So an IN-STATE VIN search drops a typed year, and that is metadata-correct: adding VehicleYear to QV.V any[] would OVER-PERMIT, transmitting a field the QV transaction does not define. The devdoc presents one flat optional list for the query while the metadata spreads those optionals across two transactions -- the same shape as a Choice branch scoping a field to one alternative. METADATA IS FIELD-AUTHORITY (KB rule B4). Verified against the raw XML Requirements 2026-08-01. | metadata-vs-devdoc | 2026-08-01
BoatQuery | BQ | State2 | devdoc-optional-unreachable | OUT OF SCOPE by portfolio decision (Rob 2026-08-02): multi-destination Nlets routing is not built on any provider. This is a REAL unwired optional, not a tool artefact -- verified against THIS provider's own authorities: its metadata places the field in <Set><Any> on this combination (optional, buildable) and its devdoc lists it in the bracketed optional set, so both authorities agree it could be carried. Recorded rather than built because supporting additional destination states is a product capability question, not a wiring omission, and it would add up to four more state dropdowns per affected card. Same call already applied to FL_FCIC. Rule class is 'other', so this row silences no check -- it exists so the finding is not re-derived as a defect. Surfaced by the spec-derived test plan (UNREACHABLE = a devdoc field with no form control), the only gate that looks in this direction. | metadata-vs-devdoc | 2026-08-02
BoatQuery | BQ | State3 | devdoc-optional-unreachable | OUT OF SCOPE by portfolio decision (Rob 2026-08-02): multi-destination Nlets routing is not built on any provider. This is a REAL unwired optional, not a tool artefact -- verified against THIS provider's own authorities: its metadata places the field in <Set><Any> on this combination (optional, buildable) and its devdoc lists it in the bracketed optional set, so both authorities agree it could be carried. Recorded rather than built because supporting additional destination states is a product capability question, not a wiring omission, and it would add up to four more state dropdowns per affected card. Same call already applied to FL_FCIC. Rule class is 'other', so this row silences no check -- it exists so the finding is not re-derived as a defect. Surfaced by the spec-derived test plan (UNREACHABLE = a devdoc field with no form control), the only gate that looks in this direction. | metadata-vs-devdoc | 2026-08-02
BoatQuery | BQ | State4 | devdoc-optional-unreachable | OUT OF SCOPE by portfolio decision (Rob 2026-08-02): multi-destination Nlets routing is not built on any provider. This is a REAL unwired optional, not a tool artefact -- verified against THIS provider's own authorities: its metadata places the field in <Set><Any> on this combination (optional, buildable) and its devdoc lists it in the bracketed optional set, so both authorities agree it could be carried. Recorded rather than built because supporting additional destination states is a product capability question, not a wiring omission, and it would add up to four more state dropdowns per affected card. Same call already applied to FL_FCIC. Rule class is 'other', so this row silences no check -- it exists so the finding is not re-derived as a defect. Surfaced by the spec-derived test plan (UNREACHABLE = a devdoc field with no form control), the only gate that looks in this direction. | metadata-vs-devdoc | 2026-08-02
BoatQuery | BQ | State5 | devdoc-optional-unreachable | OUT OF SCOPE by portfolio decision (Rob 2026-08-02): multi-destination Nlets routing is not built on any provider. This is a REAL unwired optional, not a tool artefact -- verified against THIS provider's own authorities: its metadata places the field in <Set><Any> on this combination (optional, buildable) and its devdoc lists it in the bracketed optional set, so both authorities agree it could be carried. Recorded rather than built because supporting additional destination states is a product capability question, not a wiring omission, and it would add up to four more state dropdowns per affected card. Same call already applied to FL_FCIC. Rule class is 'other', so this row silences no check -- it exists so the finding is not re-derived as a defect. Surfaced by the spec-derived test plan (UNREACHABLE = a devdoc field with no form control), the only gate that looks in this direction. | metadata-vs-devdoc | 2026-08-02
DriverHistoryQuery | KQ | State2 | devdoc-optional-unreachable | OUT OF SCOPE by portfolio decision (Rob 2026-08-02): multi-destination Nlets routing is not built on any provider. This is a REAL unwired optional, not a tool artefact -- verified against THIS provider's own authorities: its metadata places the field in <Set><Any> on this combination (optional, buildable) and its devdoc lists it in the bracketed optional set, so both authorities agree it could be carried. Recorded rather than built because supporting additional destination states is a product capability question, not a wiring omission, and it would add up to four more state dropdowns per affected card. Same call already applied to FL_FCIC. Rule class is 'other', so this row silences no check -- it exists so the finding is not re-derived as a defect. Surfaced by the spec-derived test plan (UNREACHABLE = a devdoc field with no form control), the only gate that looks in this direction. | metadata-vs-devdoc | 2026-08-02
DriverHistoryQuery | KQ | State3 | devdoc-optional-unreachable | OUT OF SCOPE by portfolio decision (Rob 2026-08-02): multi-destination Nlets routing is not built on any provider. This is a REAL unwired optional, not a tool artefact -- verified against THIS provider's own authorities: its metadata places the field in <Set><Any> on this combination (optional, buildable) and its devdoc lists it in the bracketed optional set, so both authorities agree it could be carried. Recorded rather than built because supporting additional destination states is a product capability question, not a wiring omission, and it would add up to four more state dropdowns per affected card. Same call already applied to FL_FCIC. Rule class is 'other', so this row silences no check -- it exists so the finding is not re-derived as a defect. Surfaced by the spec-derived test plan (UNREACHABLE = a devdoc field with no form control), the only gate that looks in this direction. | metadata-vs-devdoc | 2026-08-02
DriverHistoryQuery | KQ | State4 | devdoc-optional-unreachable | OUT OF SCOPE by portfolio decision (Rob 2026-08-02): multi-destination Nlets routing is not built on any provider. This is a REAL unwired optional, not a tool artefact -- verified against THIS provider's own authorities: its metadata places the field in <Set><Any> on this combination (optional, buildable) and its devdoc lists it in the bracketed optional set, so both authorities agree it could be carried. Recorded rather than built because supporting additional destination states is a product capability question, not a wiring omission, and it would add up to four more state dropdowns per affected card. Same call already applied to FL_FCIC. Rule class is 'other', so this row silences no check -- it exists so the finding is not re-derived as a defect. Surfaced by the spec-derived test plan (UNREACHABLE = a devdoc field with no form control), the only gate that looks in this direction. | metadata-vs-devdoc | 2026-08-02
DriverHistoryQuery | KQ | State5 | devdoc-optional-unreachable | OUT OF SCOPE by portfolio decision (Rob 2026-08-02): multi-destination Nlets routing is not built on any provider. This is a REAL unwired optional, not a tool artefact -- verified against THIS provider's own authorities: its metadata places the field in <Set><Any> on this combination (optional, buildable) and its devdoc lists it in the bracketed optional set, so both authorities agree it could be carried. Recorded rather than built because supporting additional destination states is a product capability question, not a wiring omission, and it would add up to four more state dropdowns per affected card. Same call already applied to FL_FCIC. Rule class is 'other', so this row silences no check -- it exists so the finding is not re-derived as a defect. Surfaced by the spec-derived test plan (UNREACHABLE = a devdoc field with no form control), the only gate that looks in this direction. | metadata-vs-devdoc | 2026-08-02
VehicleRegistrationQuery | RQ | State2 | devdoc-optional-unreachable | OUT OF SCOPE by portfolio decision (Rob 2026-08-02): multi-destination Nlets routing is not built on any provider. This is a REAL unwired optional, not a tool artefact -- verified against THIS provider's own authorities: its metadata places the field in <Set><Any> on this combination (optional, buildable) and its devdoc lists it in the bracketed optional set, so both authorities agree it could be carried. Recorded rather than built because supporting additional destination states is a product capability question, not a wiring omission, and it would add up to four more state dropdowns per affected card. Same call already applied to FL_FCIC. Rule class is 'other', so this row silences no check -- it exists so the finding is not re-derived as a defect. Surfaced by the spec-derived test plan (UNREACHABLE = a devdoc field with no form control), the only gate that looks in this direction. | metadata-vs-devdoc | 2026-08-02
