================================================================
  SUPPORTED-QUERY (DEVDOC) AUDIT -- NY_NYSPIN_EJUSTICE
================================================================

Extract STATUS: PROVISIONAL  (PROVISIONAL -- mismatches INFO until devdoc sign-off)

[PASS] combo RVIN: 'Vehicle Registration | VehicleIdentificationNumber' is devdoc-supported
[PASS] combo RVEHOUT: 'Vehicle Registration | LicensePlateNumber' is devdoc-supported
[PASS] combo RVEH: 'Vehicle Registration | LicensePlateNumber' is devdoc-supported
[PASS] combo RCAR: 'Vehicle Registration | VehicleIdentificationNumber' is devdoc-supported
[PASS] combo DLICN: 'Driver License | Name' is devdoc-supported
[PASS] combo DLIC: 'Driver License | OperatorLicenseNumber' is devdoc-supported
[PASS] combo DGRP: 'DL Name Search | Name' is devdoc-supported
[PASS] combo DALHOUT: 'Driver History | Name' is devdoc-supported
[PASS] combo DALH: 'Driver History | Name' is devdoc-supported
[PASS] combo DALLOUT: 'Driver History | OperatorLicenseNumber' is devdoc-supported
[PASS] combo DALL: 'Driver History | OperatorLicenseNumber' is devdoc-supported
[PASS] combo GINQ: 'Firearm | GunSerialNumber' is devdoc-supported
[PASS] combo AINQ: 'Article | ArticleSerialNumber' is devdoc-supported
[PASS] combo BVEH: 'Boat | RegistrationNumber' is devdoc-supported
[PASS] combo BVIN: 'Boat | BoatHullIdNumber' is devdoc-supported
[PASS] combo RVEH: 'Boat | RegistrationNumber' is devdoc-supported
[PASS] combo RCAR: 'Boat | BoatHullIdNumber' is devdoc-supported

RESULTS: 17 PASS / 0 FAIL / 0 WARN (0 INFO)
