STATUS: PROVISIONAL
# TX_TLETS supported queries -- DERIVED FROM JSON COMBOS, NOT YET CONFIRMED.
# ACTION: verify this list against the provider devdoc 'Basic Queries Supported'.
#   - remove any line the devdoc does NOT authorize
#   - add any devdoc-supported query intentionally not built (document as a skip)
# Then change STATUS to CONFIRMED to turn this into a hard gate.
# Format: <QueryLabel> | <PrimaryFieldReference>

Article | ArticleSerialNumber
Article | NCICNumber
Boat | BoatHullIdNumber
Boat | NCICNumber
Boat | RegistrationNumber
Driver History | Name
Driver History | OperatorLicenseNumber
Driver License | Name
Driver License | OperatorLicenseNumber
Firearm | GunSerialNumber
Firearm | NCICNumber
Vehicle Registration | LicensePlateNumber
Vehicle Registration | StickerNumber
Vehicle Registration | VehicleIdentificationNumber
