STATUS: PROVISIONAL
# TX_TLETS_CCH supported queries -- DERIVED FROM JSON COMBOS, NOT YET CONFIRMED.
# ACTION: verify this list against the provider devdoc 'Basic Queries Supported'.
#   - remove any line the devdoc does NOT authorize
#   - add any devdoc-supported query intentionally not built (document as a skip)
# Then change STATUS to CONFIRMED to turn this into a hard gate.
# Format: <QueryLabel> | <PrimaryFieldReference>

Article | ArticleSerialNumber
Article | NCICNumber
Boat | BoatHullIdNumber
Boat | NCICNumber
Boat | RegistrationNumber
CCH Admin Query (AQ) | FreeText
CCH Admin Response (AR) | FreeText
CCH Criminal History (QH) | BirthDate
CCH Criminal History (QH) | FBINumber
CCH Criminal History (QH) | Name
CCH Criminal History (QH) | StateIdNumber
CCH Name Inquiry (IQ) | Name
CCH Record Request (QR) | FBINumber
CCH Record Request (QR) | StateIdNumber
CCH Record Request (ZR) | FBINumber
CCH Record Request (ZR) | StateIdNumber
CCH SID Query (FQ) | StateIdNumber
CCH Wanted/III (QWI) | Name
Driver History | Name
Driver History | OperatorLicenseNumber
Driver License | Name
Driver License | OperatorLicenseNumber
Firearm | GunSerialNumber
Firearm | NCICNumber
Vehicle Registration | LicensePlateNumber
Vehicle Registration | StickerNumber
Vehicle Registration | VehicleIdentificationNumber
